Page,Name,Score,Review
3,Gary H,2,"Recently flew business class with Vietnam Airlines from Sydney to Frankfurt and back, a total of four flights, also paid for my sister’s economy flights so paid approximately $10,000 AUD in total. Not something I would normally do, but I was excited at splashing out on business class flights.  I purchased the tickets many months in advance and selected window seats on all legs. <br><br>On the flight from Sydney to Hanoi, the entertainment system was broken, but as the flight wasn’t full, I could move one seat back to a seat with working entertainment so not a big deal. The rest of the flight to Frankfurt was pretty good. <br><br>When I checked in at Frankfurt on my way home, I was advised that my seat had a faulty entertainment system and that I would be given an iPad. Having paid a signifiant sum of money for the flight, I advised that I wasn’t happy with that arrangement but was told that as the flight was full, there was no option to be reallocated to another seat. I reluctantly accepted and they issued my boarding passes at which point I was advised that the Ho Chi Minh to Sydney leg was a window seat I stated that the Frankfurt to Ho Chi Minh should also be a window seat but I was told that ‘strangely’ the system did not have a seat allocated to me and this was the only option available to me.<br><br>I wasn’t satisfied with that and found my print out of my booking from months before which clearly showed my seat selection being a window seat. I spoke to the checkin manager who explained to me that my seat had been given to someone else as perhaps they were travelling as a pair or were ‘more important’ than me his words, not mine. Worth nothing was that I had checked in 3 hours before the flight left and there were still people behind me checking in. And the window seat they gave to someone else was a single seat, and the internal seat I was given was a twin. What I think happened was that the customer originally assigned to my seat had been advised their seat had no working entertainment system, complained, and had been reallocated to my seat leaving me as the customer with no working entertainment. <br><br>When I boarded I was given the iPad which staff had assured me had all the same movies etc on it as the in flight entertainment system. but it didn’t. It only had 10 English speaking films on it, 2 of which were boxing films, and one a kids movie. So I sat on an 11 hour flight from Frankfurt to Ho Chi Minh with the absolute worst selection of ‘straight to DVD’ movies I’ve ever seen on a flight. <br><br>After paying a premium price and receiving a very inferior product, I figured I was liable for some for of compensation a future upgrade, a partial refund or some bonus miles perhaps I wrote to the airline and their customer service team first advised they had no record of this incident. Then in the second email exchange miraculously remembered the incident and stated that I had told them at checkin I was ok with the situation, which was an absolute lie. Ultimately they refused to acknowledge or compensate me at all for the experience. <br><br>I’ve been astounded by the lack of accountability and the absolute lack of customer service from this airline. I will never fly with this them again and vowed to warn others of the substandard experience.<br><br>There is no reason I would ever recommend Vietnam Airlines to anyone. They may be slightly cheaper than other airlines, but the service and reliability is atrocious.To people thinking of booking with them: I would advise you go with anyone else. The product you get is not inline with what they are selling you."
4,James B,2,No response from customer services email addresses to multiple emails despite being unable to modify flights online and being referred to the email address for support. Vietnam Airlines customer service is on par with low cost carriers yet prices the same as full service ones. How can they have a 4 star rating?
4,JnVSydney,5,"From checkin to baggage claim, it was a no fuss operation, the staff were friendly and helpful, we had exit row seats, which really helps with comfort, all in all it was what we expected with no surprises."
4,Amy L,1,"They don't respond to emails, calls to the help line say they're too busy and hang up on you, the aus branch is very rude and just direct me back to the help line and emails that don't respond"
4,Leanne W,1,"We are travelling for our honeymoon,<br>From after we booked flights have been changed over 10 times. We have tried calling &amp; emailing to change 1 of the flights can’t get through on the phone you just sit on hold for hours. No reply to emails our travel agent has also tried and she gets no where either.<br>We get to the airport today to start our trip. Staff are rude and far from friendly, 1 even talked over our shoulders to other customers.<br>We asked them to help change 1 of our flight they were like bad luck just keep ringing yourself.<br><br>Hopefully their service improves from here.<br>But after reading reviews I’m not holding my breath."
4,Soko37,4,"Check in smooth as being early, flight was delayed one hour so plenty of time for podcasting. Organized boarding, easy flight and reaching Hanoi in two hours. After flying many flights with Vietnam Airlines, I got decent food, finally ."
5,Sush,1,"Stupidest airlines with slow transfer service. They don't give you visa for onwards flight, no clear instructions and then it's on you to wait at the transfer desk at the international airport to get it yourself. The wait time, can be any thing."
5,Gary M,1,"I can honestly day say the worst airline I have ever travelled with and I have used Ryanair in the past. We pre- ordered vegetarian meals for the flight , they didn't have it, kept offering us chicken, the entertainment screen was broken , so could not use for the entire 13 hour flight, the stewardess offered to move my wife to an aisle seat in a different part of the plane , so we would be apart for the whole journey.  We didn't have anything to eat for 13 hours except for some dry crackers and a very dry bread roll. The drinks service was incredibly mean, the cabin crew were surley and unattentive, I will never fly with this airline ever again.  One more thing the chap in the next seat to me who was not vegetarian,  said his inflight meal was the worst food he had ever experienced.  Be warned, take your own food on board if you fly with them."
5,MizuhoK,4,We took round trip from Hanoi to Hue. They were short flights and services were limited as no entertainment or only one bottle of water was given. The flight departed on time. Efficient check at AP in although online check in didn’t work for us.
5,Alana M,1,"DONT FLY WITH VIETNAM AIRLINES <br>I travelled with Vietnam airlines SYD-CDG. They added in an additional stop  over in Vietnam, adding hours to the trip (but wait...there's more).<br>When we finally got to Paris, they had lost my luggage. It took them days to locate the luggage. Once they advised that they had found it, they said they would bring it to my hotel in Spain. It never turned up.<br>I then called the airline and after being transferred to different departments  numerous times, they admitted that they had lost my luggage AGAIN.<br>After hours and hours on the phone, I found out my luggage had been passed by Vietnam airlines to 2 other airlines (Air France and Ibera) but was told that Vietnam airlines was still responsible for the luggage and was overseeing it.<br>When trying to locate the luggage I was told by the other airlines that it wasn't their responsibility and to contact Vietnam airlines, they in turn blamed the other airlines.<br>I was finally told by a lovely person at Ibera airlines that Vietnam airlines had closed my case (I still hadn't received my luggage). She also advised that my luggage was in Lugo (she said she should be telling me this, but felt sorry for me) and  I was told ""under no circumstances that I should go to the airport and try and claim my luggage, as I didn't have any email/ proof that the luggage was there"".<br>As I had been without luggage for over a week and a half, against her advice, I then drove to the airport (hours away from where I was staying), lied and said I was told to come and pick it up, they then handed my my luggage.<br><br>It is months later after numerous emails and phone calls back and for with Vietnam airlines, the compensation I have been offered it $80 USD for; lost luggage, petrol costs to try and go and claim my luggage, hours and hours lost on my holiday on the phone to the airline/s.<br>BUT there is more...they cant give me the money because I can not produce the first luggage tag that was on my bag....the worst airline I have ever flown with."
5,Twobears,1,"Seat doesn’t recline. Inflight meal were tasteless, no inflight entertaining. Have to manually transfer between international and domestic flights. Onboard crew has low level of understanding requests and doesn’t speak much English. Staff at check in counters = rude and ruder only. <br>Seeing how the airline only response to positive comments and ignore negative ones on this site, you can get a general feel of this airline. Do not use if possible."
6,Alan N,4,"We have just returned from a visit to Vietnam, flying Vietnam Airlines.  We had never flown with them before but they offered a direct flight whereas most other airlines required a stopover and were very much longer.  I was very pleasantly surprised with their business class.  I did find I was unable to lie flat because the space where the feet go tapers to a point and I have very large feet, but I could still get a good sleep.  <br>The in flight entertainment was very limited for English speaking passengers but it is an Asian airline catering mainly for Asian passengers.<br>Check-in ground staff were efficient. The cabin crew were polite and obliging. Both flights, there and back,  left and arrived on time. Our baggage was waiting for us at the destination.  Food on board was tasty.  <br>As one who far prefers getting of an aircraft at destination than getting on for the start of the journey, it was a comfortable experience."
6,Soko37,3,"Quick check in very early in the morning, little people at immigrations, getting on board in priority boarding. Food bit better than last time to Bangkok, flight on time"
6,Oli K,5,We had a mix up with a visa last minute on our end and the airline were very understanding and helped us arrange alternative travel with no extra cost (you would never find this with budget European airlines like I’m used to) The customer service is excellent as well as the on board experience. Would absolutely recommend!
6,Gagan S,1,"First time travelled with Vietnamese airline and worst experience ever. Would never recommend it to anyone from my circle. They lost my luggage and till now there is no clue about it’s location or anything. It’s been 1 weel already. It’s my wedding in 2days and my all important and expensive stuff is in my suitcase. Now because of them i am running all around to buy everything again. No one from this airline is helping to find my suitcase. Now if they are not able to give my suitcase my tomorrow, i would really not need it after that it’s already too late from their side. No customer service at all. Till now no one has informed me anything about my luggage and even now i don’t even think that they are even trying to helping out. If anyone wants to travel with this airline i would recommend to keep your all luggage with you rather than trusting them and giving it as a checkin bag."
6,Derek N,1,"Please do NOT purchase Vietnam airline before read this. If you purchase online, you are out of luck because there will be no support and you cannot change your flight or modify it because there is pricing error that will stop you from changing. I tried to chat, call and email every single day for weeks, and they dont care to respond. They never bother to fix anything. On-flight service is not friendly. So if you still decide to go with Vietnam airline, go to an agent and buy it for higher price, and even online is not cheap. This airline is a nightmare. So i would not recommend it."
7,ExVotoFatum,5,"Flight was cancelled at Gate and we had to wait 24 hours. VNM airlines arranged hotel accommodation ( quite far from airport) , transport , food.<br>So far OK.<br>I sent two emails to VNM Airlines office in Frankfurt City and Airport asking compensation according EU Law.<br>I never got an answer. What a shame, I am also Gold member. <br>I have no chance and will have to go the legal court procedure."
7,Odyssey37174177515,1,"Worst flight home, my assigned seating was broken air hostess said they will try and find me a new seat, never came back to me. 4 toilets were unusable no water in 3x of the toilets, toilets has poo and pee all over the toilet seats and toilet paper. It stunk so bad!  <br><br>In flight entertainment was not working all flight."
7,extravelagent,4,"Not sure why I was hesitant to fly Vietnam Air; after all they are part of Skyteam but I was pleasantly surprised each time. I had to fly them on 3 occasions: HAN SGN, SGN DAD, and DAD SGN. All the flights were pleasant, usually got a drink and maybe a snack. The seats were fine (even flew a 787 from HAN SGN!) and usually on time. The in flight staff were nice, the check in staff were fine however they scared me once by saying because I didn't add my middle name to the ticket (like my passport) I could be stopped by security and denied boarding (it was fine). As is with SE Asia even though there are boarding zones, it's never respected by the passengers. Just know that I think on all occasions, we needed to get on a bus to get to our plane and to get bussed back to the terminal. It down poured once so we got fairly soaked coming down the stairs. The cool thing is that when you board, they open all 3 doors of the plane (maybe it was just for the 787, I can't really recall) but that's a great way to get everyone on board FAST.<br>Overall, I would definitely fly them again and even use them internationally. <br>My miles dropped in within days to my Delta account. Thumbs up for Vietnam Airlines"
7,Radhika P,2,"I am very surprised to hear that Vietnam Airlines wont change my daughter's name on our family Lotus Miles account (which leaves out her middle name). My responses to emails have been to avoid the subject.  My daughter is 15 years old, travelling tomorrow on second leg of her VA ticket, and I cannot get ANY SOLUTION from Lotus Miles or Vietnam Airlines via phone or email. All I would like is her miles, seat allocation and their acknowledgement that her identity is not different to her travel and birth documents - which they said it is and therefore she cannot get miles? We are expats living in Hanoi for a year, using Vietnam Airlines every 2 months, about to book more flights.  Can someone please assist us? I am not sure what else to do but post here. Last month we flew VA to Cambodia - we booked direct, our friends booked same flight through Expedia. VA sent an anonymous text that there flight was cancelled and they had been moved to another later flight.  We knew it wasn't cancelled, the return leg was a Cambodia Air flight that was codeshare. When we called and pointed out that half of us were still on the cancelled flight they fixed it immediately and said it was a mistake to offload our friends (computer error). The airline is efficient, why is customer service working against the interests of the customer? I have emailed for 6 weeks regarding my daughter travel, which is tomorrow! Very disappointing from an International Airline.  My mother is flying Biz Class in December, it will be interesting to see if she gets more respect?"
7,Simon Hoang,4,"Vietnam Airlines is a pretty genuine and good airlines. The service is good, the legroom is good, everything is not bad. The seats are nice but nothing special for a Boeing 787 Dreamliner. Over all, it's good but theirs way better opinion."
8,Englong T,1,"The poor airline ever, i will never choose to flight with this airline again. Broke my luggage wheel and had no responsible, poor services and food even the facilities for business so old. <br>No recommend at all ( always delay and late)"
8,Kris V,1,"You get what you pay for, and even then it's below par at best. On a return trip to France consisting of 4 Vietnam Airlines flights, all planes were disgustingly dirty, cabin crew were notedly lazy and lacking in customer etiquette, and 3 out of 4 planes were delayed for over 2 hours each. Vietnamese customs are far from the most friendly or helpful people I've encountered which is a shame because locals in Saigon and Hanoi are lovely. Don't be a scrooge and pay the extra for some quality."
8,Soko37,3,"Easy check as we were earlier, very organised boarding according zones. The flight short , after few minutes from take off, we started to land. Few turbulences"
8,Alexandra Â,1,"Vietnam Airlines changed our flight from Ho Chi Minh to Phu Quoc for 1 hour early without any advise. We only saw the change when we were doing the online check-in. We called the line 1900 1100 and the only option was to change the flight to the next day. After we asked to wait a few minutes on the line, the lady put the call on hold and hang up the phone. So, this means that we would lost our hotel reservation and tour (that were already paid) in Phu Quoc. We had to spend more 200$ on another flight from Hanoi to Ho Chi Minh to be able to catch the flight that Vietnam Airlines changed without any advise. Terrible service, we don’t recommend this company."
8,João L,1,"Vietnam Airlines changed our flight from Ho Chi Minh to Phu Quoc for 1 hour early without any advise. We only saw the change when we were doing the online check-in. We called the line 1900 1100 and the only options was to change the flight to the next day. After we asked to wait a few minutes on the line the lady put the call on hold and hang up the phone. We called again and the solution was the same, change the flight to the next day. So we had to spend more 200$ on another flight from Hanoi to Ho Chi Minh to be able to catch the flight that Vietnam Airlines changed without any advise. Terrible service, we don’t recommend this company."
9,Davin,1,We booked a round trip from Ho Chi Minh to Phu Quoc months before our journey. We had everything planned for the trip but had to rearrange several times because they keep on rescheduling the flight. Our first flight was rescheduled 5 hours later and operated by Pacific Airlines instead. Our second flight was also rescheduled 4 hours later and even got delayed by 2 hours.
9,Peter C,1,Do not fly with Vietnam Airlines. I booked online on their website. When I arrived to catch my flight I was told I needed a Visa for stopping in Vietnam even though I was only in transit. This was not mentioned when I booked the flight and was not on any of my ticketing or correspondence. There were 5 people travelling London to Sydney on my flight who needed Visas. Apparently there is a similar number on every one of these flights.<br>We were told we could get urgent Visas at a cost of US$275! We googled Vietnam Visas and 3 of the 5 of us went to scam sites (apparently there are several and this happens to airline customers all the time). We were unable to catch out flight. The replacement flights cost several thousand extra dollars as well as causing stress and anxiety of going through this process.<br>Vietnam Airlines is well aware of this situation and does not advise customers that a Visa may be needed (until they try and board a plane) and does not prove any advice on how to get authorised Visas at the gate.
9,trish f,2,"After an awful experience with Vietnam Air in 2016 we decided to try them again. We do enjoy flying fully serviced Airlines. We'll what do you know we spent a small fortune to get a flight, we were not even put onto A Vietnam Airlines plane they put is on pacific Airlines in which they expected us to pay for water, tea or coffee which was included in the price we paid for on our ticket. Never again 2nd chance done and dusted"
9,Linna S,1,"I had a flight from phụ quốc to Saigon with a different airline that changed just a day before the flight reservation to a later time which did not work with my schedule so I rebooked with Vietnam Airlines in a haste. I booked the wrong departure location, mistakenly choosing Saigon to phụ quốc. It had only been a few hours since I booked the ticket but the associate at the Vietnam Airlines ticket counter refused to help me. I wanted to call the customer service number myself but my phone couldn’t make calls so I asked if I could borrow one but she just turned me away. Seeing as it was an honest mistake and the reservation was booked within 24 hours, they should’ve been more accomodating especially since I was asking for a change of flight and not a refund."
9,James,5,I was impressed with the service on my flight from Da Nang to Ho Chi Minh City. I accidentally left a bag at the gate. One of the flight attendants helped me file a missing luggage claim. They also fly Airbus planes in their fleet. United could learn a few things about Vietnamese customer service.
10,SJPX88648,1,"I didn’t actually get to travel with VN Airlines: My review concerns its absolutely appalling customer service between my original booking of a domestic flight and my ultimate cancellation. First, VN canceled my outbound flight (HAN-DAD) and rebooked me on an early-morning flight the same day. It took numerous calls and - unbelievably - multiple email messages in English before I could rebook at a satisfactory departure time. Annoying and inconvenient, but that’s hardly the worst. <br><br>After discovering a serious error in my work visa, I had to turn over my US Passport to request a correction. When I tried to contact VN by phone to get clarification about allowable forms of ID, they referred me to the VN website, which has ambiguous language and which its employees apparently don’t even understand. As with my rebooking experience, VN required me to send multiple emails with my ID documents and then call back - just to verify that online support had received my query. Twice, I received nothing. I phoned back multiple times, only to be told either that I should resend my email or that I had to read the email that VN had sent (but that I never received). <br><br>As departure time got closer, I called again. Unbelievably, the agent said I should “read the email.” And NO: She could not simply tell me what the email said. At least she managed to resend the elusive email, but the message just repeated the confusing info on the website and said I should go to the “Embassy.” Ridiculous and useless. I became so anxious and frustrated that I took a Grab to the closest VN Ticket Office, where two agents were just totally confused by my simple question: Can I travel with any of these documents (or a combination of them)? Same question that I had tried asking by email and phone, multiple times. At the Ticket Office, the women at the desk kept asking the same questions that I had answered multiple times: What happened to your passport? Shouldn’t you get your passport from “the Embassy”? They kept saying I should read the website, which they clearly could not interpret themselves. “Will you let me fly tomorrow or not?” Simple question, right? Nope, apparently too difficult a question. <br><br>Finally, after one person went away with my documents and made me wait, she said “government regulation” requires a passport. I understand. Not a VN policy but a law. Why did it take DAYS to get that simple answer after asking the question multiple times online, on the phone, and via email. When I asked the agent to cancel my reservation, I said I deserved a full refund and shouldn’t have to pay the cancellation fee after the nonsense that VN’s ill-trained and inefficient customer service staff had put me through. Massive waste of my time, effort, and money (not just the cancellation fee, but also the 191,000VND that I spent on Grab rides to and from the Ticket Office). <br><br>I don’t question the airline’s enforcement of the rules, but it behaved totally incompetently in conveying that policy and utterly failed to help me understand it. I don’t understand how such a poorly run carrier can earn four stars from SkyTrax, but after my experience, I’m not curious enough to find out what it’s actually like to fly with VN. If I could assign zero stars, I would. Truly one of the most awful experiences I’ve ever had with any airline anywhere in the world."
10,Long,4,The Flight Itself Was Good and the Crew Were Very Kind the legroom was awesome but Vietnam Airlines should add inflight wifi
10,Prashanth S,3,"I booked a red eye flight, which is supposed to depart at 03:35AM. They have sent an email regarding the change, which i missed. Usually other airlines call or repeatedly send until we accept. Vietnam Airlines won't do it. Reached airport at 02:00 AM.  At the airport we got to know that out flight got cancelled and accomodated us in 07:55 AM flight. Nightmare!!!<br>They try to conpensate us by giving us a breakfast voucher, which is really not needed at that point of time!"
10,Hannah L,1,"I booked a ticket knowing that it might have to be changed or cancelled due to health condition.  Their website showed a cancellation fee of USD 50.  However, ticket was issued with a link that takes me to another site that shows USD 150 cancellation fee per leg.  I wouldn’t have booked with Vietnam Airways if I knew upfront.  I’ve been flying with them a number of times .  Terrible services,  many of the flight attendants are arrogant, asked for some water, said thank you and they walked away, no response, no water half an hour later.  They are quite pricy comparing to Vietjet or Bamboo."
10,Soko37,3,"Check in was express as coming rather early, immigration with luck when they opened new counters, enjoying some hour in airport before boarding. Boarding organised well, starting some minutes later than scheduled, getting on the bus as airport is in reconstruction. Take off delayed and heading to Bangkok, flight was not fully booked. Food onboard sucks, cheap sandwiches are extreme bottom comparing other international flights. Landing on time and being lucky again at immigration"
11,Anna P,5,Thank you Ms. Nguyen Thị Thu Ha for fast and exceptional service. <br>Ms. Nguyen helped us reserve seats for free.
11,ExVotoFatum,5,"The staff of the flight to and from Bangkok  were always very friendly. Food at flight is ok.  Check in Hanoi is excellent, in Bangkok you need more time as procedures are different They still use plastic emballage for forks etc."
11,dvbkk,1,"Surfboards, surfing kites, surfing sails: the length does not exceed 250cm Airlines sports baggage written policy states "" Since it must be packed in proper protective luggage this normally adds some volume. Checked in 201 cm length protective surfboard bag within 23 kg weight. Bangkok airport ground staff took bag without issue. Ground staff would only do this if they were directed by management to do so. Arrived to Da Nang no issues. On return Da Nang airport ground staff refused to honor same standard and would not let my VERY SAME weight and dimensions  bag go unless I paid oversize fee approx 60 USD. Then check in at HCM airport staff accepted bag without issue as the Bangkok staff did. Again they would not do this unless directed by management. Does Vietnam Airlines not think a passenger must also return to their origin airport? Da Nang ground staff claimed total dimensional length was greater than 203. cm.  It would need to be a surfboard for a toddler or a midget to meet those dimensions. This reasoning is not logical but delusional. They use this to justify extorting the passenger for extra money, perhaps the ground staff gets a bonus or commission? Looking at the high % of poor reviews I was an exception as my many years of flying them was very positive. They have to date refused to offer a refund or even a flight voucher of comparable value though they apologise for the inconvenience and lack of standards across different airports and acknowledge the above. Despite the ticket being more expensive I chose Vietnam Airlines due to this sports equipment policy. It is better to fly the cheaper Airasia and pay 25 USD for surfboard to 25KG than pay high priced Vietnam Airlines and get extorted/scammed for 60USD more. An airline that deceives and defrauds it's longstanding/any customer IMO is terrible."
11,S B,1,Vietnam airlines would have been a great experience if it wasn’t for the two unscheduled change of flights within Vietnam. This through out our travel plans and needs to be addressed. It ended with us spending 7 hours of a 8 day trip at the airport between flights. Staff at airport weren’t concerned so this must happen all of the time. Think twice before travelling on this airline.
11,JordoE,3,"I flew Melbourne to London return stopping in Ho Chi Minh City. When I arrived to Melbourne airport to depart for London I presented my transit visa (this is a requirement if you are stopping in Vietnam). Similar to the many other reviews on TripAdvisor below I was told that I would not be able to board the flight as the issuing of the visa left off one of the letters from my passport. Initially the only solution that was offered was that I would not be able to board and would need to reapply for another visa which could take a week. Thankfully one of the other staff members told me to see Flight Centre next to the check in desk to get an immediate visa, costing $500AUD. I did pay this, received the visa and was allowed to board the flight.<br>Business class was satisfactory, seats recline into a flat bed and were fairly comfortable. The section where feet go when lying down is very narrow and mine struggled to fit in the space, making sleeping difficult at times. The food was served at the beginning and end of the flight with some fruit and nuts served in between. I would advise to pack a few extra snacks if you are after sweets like biscuits, chocolate, protein bars etc during the flight. The food was OK, however, if you have specific dietary requirements tell the airline in advance. My friend (also on the same flight) is not allowed dairy and, at times, had very limited /sometimes no option for main meal.<br>On the flight returning to Melbourne the flight was delayed by three hours, leaving at midnight. For me this was not an issue as I knew I would sleep on the plane, however, if you are travelling economy/premium economy it might be a consideration if you struggle to sleep sitting up, have children etc. <br>The staff on all flights were exceptional and very attentive. Every crew member I interacted with was polite, helpful and provided great service. This would be one reason I would potentially travel with Vietnam Airlines.<br>I would recommend VA to people if they are not time sensitive (two of my four flights were delayed), were happy with basic food options and don't mind how they to get to destination.<br>If you are a business traveller,  I would not recommend this airline to you."
12,Juliette M,1,Flight there and back ran out of second choice of meal. Took ages to be served as at wrong end of plane. <br>Food low quality and was offered a meal which had obviously been dropped as the container was broken.  Asked if any vacant seats for elderly huband with medical condition  and noticed many younger flyers had three vacant seats but not offered one my advice is to go first class if affordable!  Would try to avoid using again.
12,fransie0509,5,"Our final leg of two weeks in Vietnam was highlighted by the service received by the Vietnam Airline team at their main ticketing office and then the flight itself.<br>We went to the office to purchase an upgrade to BC from PE (US$610 each) but were told we may have enough LotusMiles for a free upgrade. This was confirmed and the upgrade was made..how excited were we. The service received by one particular staff member was above and beyond; outstanding. <br>On the plane itself.well it’s Business Class isn’t it so all I’m going to say is that the team that looked after us and all the other customers were exemplary in their conduct; terrific work and thank you Vietnam Airlines, you’re the best."
12,sunilt1960,3,"We had booked on two flights Ho Chi Minh City to Halong -VN 839 &amp; <br>Hanoi to Siem Reap VN-1172 on two separate flights. <br>The Hanoi to Siem Reap flight was on time. However the VN-1172 was suddenly cancelled the day before and they rescheduled us to next flight VN-1182, 1 hr 15 min later. Vietnam Airlines has the best net work connecting Vietnam and nearby cities. The flights were good and on time. I was told that it while in Vietnam it is better to take Vietnam air as they have better connectivity and more flights"
12,Alexander,4,"Great flight, with a super friendly and helpful crew, The aircraft felt a little old and tatty but for sure fine especially for a shorter flight. Unfortunately last minute aircraft change, sure to a larger A350 instead of an A321, but had to pay extra to sit together with my family on the A321 but was not needed as the aircraft was changed."
12,Lam D,1,Today I was traveling domestic flights and booked on Vietnam Airlines and I got there 30 minutes before departure and they refused to honor my ticket because they said it was too late. That is a bunch of BS. They told me that I had to buy another ticket. I guess that is how they make extra money. I’ve arrived 30 minutes before the flight before and didn’t have any issues. It’s sad that they have to be dishonest to make money.
13,Ava Po,5,"Check-in fairly quick and friendly. Sat in an economy exit row aisle seat. You can fold out the TV to make other passengers less likely to walk into your legs. The service was great (compared to Thai Airways) with several drink/snack offerings throughout the flight, in addition to 2 meals, no extra charges. Staff were attentive and helpful. Airline staff could have improved by encouraging passengers to not have their seat reclined during meal service. International AC power socket under the seat. No WiFi available, but I didn't want it anyway. The remote control placement in the arm rest on the dreamliner planes is awful, passengers constantly knock it by accident, triggering calls for assistance and turning on overhead lights."
